disp,heart,timestamp,relative_time
0.29003958643660926,0.38703665430116424,2022-08-26 06:12:41.159000000,0.0
0.3101461480968134,0.38714751674784126,2022-08-26 06:12:41.179000000,0.02
0.343558732483439,0.38708059254984395,2022-08-26 06:12:41.199000000,0.04
0.3715194122525451,0.38729449677205136,2022-08-26 06:12:41.219000000,0.06
0.3836411436861102,0.38721135031469234,2022-08-26 06:12:41.239000000,0.08
0.3843467774439234,0.3873110368448706,2022-08-26 06:12:41.259000000,0.1
0.3843099539294964,0.3876250007261454,2022-08-26 06:12:41.279000000,0.12
0.3859922279570191,0.38729247762931424,2022-08-26 06:12:41.299000000,0.14
0.3917605116217153,0.388027229187882,2022-08-26 06:12:41.319000000,0.16
0.40143075249595433,0.38767218618992105,2022-08-26 06:12:41.339000000,0.18
0.41819966224859767,0.3878513023453262,2022-08-26 06:12:41.359000000,0.2
0.4397982726648133,0.38857886229477434,2022-08-26 06:12:41.379000000,0.22
0.45769700561530186,0.3873264919097533,2022-08-26 06:12:41.399000000,0.24
0.47102458772048206,0.3890133222179958,2022-08-26 06:12:41.419000000,0.26
0.48821528017183713,0.3877008328751699,2022-08-26 06:12:41.439000000,0.28
0.5065517326356034,0.38778147646843103,2022-08-26 06:12:41.459000000,0.3
0.5176680004720298,0.38917549978359894,2022-08-26 06:12:41.479000000,0.32
0.5217724345860063,0.3855701580122606,2022-08-26 06:12:41.499000000,0.34
0.5324791867891527,0.3893901850851165,2022-08-26 06:12:41.519000000,0.36
0.5452711308779055,0.3854097896923092,2022-08-26 06:12:41.539000000,0.38
0.5592761787555702,0.3852317911311469,2022-08-26 06:12:41.559000000,0.4
0.5780125050061315,0.38879936461156395,2022-08-26 06:12:41.579000000,0.42
0.5991915844544268,0.37683167501703735,2022-08-26 06:12:41.599000000,0.44
0.6184908383963318,0.39344258238576,2022-08-26 06:12:41.619000000,0.46
0.637020082396228,0.362891939376334,2022-08-26 06:12:41.639000000,0.48
0.6538029841226028,0.2676471903880271,2022-08-26 06:12:41.659000000,0.5
0.6641491396210103,0.27441551854518514,2022-08-26 06:12:41.679000000,0.52
0.6732378897423589,0.33932054907303294,2022-08-26 06:12:41.699000000,0.54
0.6883758790069299,0.3615456177201581,2022-08-26 06:12:41.719000000,0.56
0.7083265035899338,0.37531289430076564,2022-08-26 06:12:41.739000000,0.58
0.7185797888743132,0.37216825714666774,2022-08-26 06:12:41.759000000,0.6
0.7289024831873272,0.36532734119240895,2022-08-26 06:12:41.779000000,0.62
0.7432738519131723,0.36963211387129286,2022-08-26 06:12:41.799000000,0.64
0.7684299536073792,0.3714678522130881,2022-08-26 06:12:41.819000000,0.66
0.7896168146141153,0.3850680533418219,2022-08-26 06:12:41.839000000,0.68
0.8063908802918385,0.40744000036780387,2022-08-26 06:12:41.859000000,0.7
0.8158928593322035,0.4324980472881397,2022-08-26 06:12:41.879000000,0.72
0.8188976346072345,0.452485434389968,2022-08-26 06:12:41.899000000,0.74
0.8206093100811043,0.4654924928834342,2022-08-26 06:12:41.919000000,0.76
0.822737161600258,0.4867104480107206,2022-08-26 06:12:41.939000000,0.78
0.8266441107393699,0.5063301255144068,2022-08-26 06:12:41.959000000,0.8
0.833938322460162,0.5112246338085965,2022-08-26 06:12:41.979000000,0.82
0.8540288926578433,0.5130369835613426,2022-08-26 06:12:41.999000000,0.84
0.8812552259062136,0.5228154959995144,2022-08-26 06:12:42.019000000,0.86
0.9056766159985844,0.5352675798926418,2022-08-26 06:12:42.039000000,0.88
0.926259644449523,0.5497727835304917,2022-08-26 06:12:42.059000000,0.9
0.9445085959094826,0.5718605711719694,2022-08-26 06:12:42.079000000,0.92
0.953855817734413,0.5953055312422424,2022-08-26 06:12:42.099000000,0.94
0.951645148138735,0.6157245244995804,2022-08-26 06:12:42.119000000,0.96
0.9478820009980451,0.6355468165456607,2022-08-26 06:12:42.139000000,0.98
0.9495020297311784,0.6508971449963581,2022-08-26 06:12:42.159000000,1.0
0.9567222975910105,0.6569668504742211,2022-08-26 06:12:42.179000000,1.02
0.9646402725993031,0.664012052319857,2022-08-26 06:12:42.199000000,1.04
0.9679913262649558,0.6827651465568593,2022-08-26 06:12:42.219000000,1.06
0.9603997643956841,0.7013151128011493,2022-08-26 06:12:42.239000000,1.08
0.9459531629174737,0.7088700042673401,2022-08-26 06:12:42.259000000,1.1
0.9275315032302371,0.7161127263581879,2022-08-26 06:12:42.279000000,1.12
0.9066477750693044,0.7362962790701881,2022-08-26 06:12:42.299000000,1.14
0.8888170547377211,0.7651582963788519,2022-08-26 06:12:42.319000000,1.16
0.8796144867544453,0.7891608550095845,2022-08-26 06:12:42.339000000,1.18
0.8805759661990502,0.8040804881600533,2022-08-26 06:12:42.359000000,1.2
0.8865741057415873,0.8094917425334373,2022-08-26 06:12:42.379000000,1.22
0.8972001591223068,0.8065372960984022,2022-08-26 06:12:42.399000000,1.24
0.9079757472565857,0.8029592610517922,2022-08-26 06:12:42.419000000,1.26
0.9148685775877571,0.801704691165333,2022-08-26 06:12:42.439000000,1.28
0.9057619435990295,0.8018414299070726,2022-08-26 06:12:42.459000000,1.3
0.8849703429570691,0.8120867616859727,2022-08-26 06:12:42.479000000,1.32
0.8574453531175946,0.8407090667567517,2022-08-26 06:12:42.499000000,1.34
0.8342068752848332,0.8768177902120853,2022-08-26 06:12:42.519000000,1.36
0.8102702804456704,0.9067371317471674,2022-08-26 06:12:42.539000000,1.38
0.7852465675308133,0.9329465468960173,2022-08-26 06:12:42.559000000,1.4
0.7688985095110009,0.954572086988228,2022-08-26 06:12:42.579000000,1.42
0.7596238005696888,0.9607646329669285,2022-08-26 06:12:42.599000000,1.44
0.7488764715521439,0.9531476393394454,2022-08-26 06:12:42.619000000,1.46
0.7299093132998546,0.9470656209481623,2022-08-26 06:12:42.639000000,1.48
0.7070983811928098,0.9507216841467546,2022-08-26 06:12:42.659000000,1.5
0.6862303519097399,0.961077118821941,2022-08-26 06:12:42.679000000,1.52
0.6648283391107968,0.9718757260993286,2022-08-26 06:12:42.699000000,1.54
0.642439698276862,0.9728807182970928,2022-08-26 06:12:42.719000000,1.56
0.6223351658196995,0.9591166193343807,2022-08-26 06:12:42.739000000,1.58
0.6081839422427475,0.9370712001552108,2022-08-26 06:12:42.759000000,1.6
0.5998885146488645,0.9103586242924727,2022-08-26 06:12:42.779000000,1.62
0.5875259823351487,0.8816336031960003,2022-08-26 06:12:42.799000000,1.64
0.5690124170740926,0.8604588237950909,2022-08-26 06:12:42.819000000,1.66
0.5497761187619008,0.8539014767014086,2022-08-26 06:12:42.839000000,1.68
0.5303958524064286,0.8609903337830069,2022-08-26 06:12:42.859000000,1.7
0.506399541546987,0.8758459716183415,2022-08-26 06:12:42.879000000,1.72
0.4801942807258291,0.8957943027290615,2022-08-26 06:12:42.899000000,1.74
0.46415893847528455,0.9170098219979408,2022-08-26 06:12:42.919000000,1.76
0.46225788852443656,0.9263147951154029,2022-08-26 06:12:42.939000000,1.78
0.4702911571084546,0.914356067425188,2022-08-26 06:12:42.959000000,1.8
0.4719736700378858,0.8847783145132647,2022-08-26 06:12:42.979000000,1.82
0.46283792735563045,0.8520732802672909,2022-08-26 06:12:42.999000000,1.84
0.4469905610717507,0.8246783699417352,2022-08-26 06:12:43.019000000,1.86
0.43023492340495834,0.7952180924922875,2022-08-26 06:12:43.039000000,1.88
0.40730989020900715,0.7675673016518227,2022-08-26 06:12:43.059000000,1.9
0.38198020104118696,0.7541360336399414,2022-08-26 06:12:43.079000000,1.92
0.36885056859586574,0.7491541756218674,2022-08-26 06:12:43.099000000,1.94
0.36804669223169684,0.7380165414963804,2022-08-26 06:12:43.119000000,1.96
0.37260046824468646,0.7155856635402477,2022-08-26 06:12:43.139000000,1.98
0.37968371539299056,0.6902632904375001,2022-08-26 06:12:43.159000000,2.0
0.38568330971642,0.6677584699730421,2022-08-26 06:12:43.179000000,2.02
0.38838477429795665,0.6438215851203195,2022-08-26 06:12:43.199000000,2.04
0.38721288297537515,0.6190797236552603,2022-08-26 06:12:43.219000000,2.06
0.3796839149248881,0.5992761084066105,2022-08-26 06:12:43.239000000,2.08
0.36129099424050554,0.5893636966633659,2022-08-26 06:12:43.259000000,2.1
0.34042793087541917,0.5847990597337321,2022-08-26 06:12:43.279000000,2.12
0.33038653404649065,0.5720259969587699,2022-08-26 06:12:43.299000000,2.14
0.3273823466331218,0.5510948503879121,2022-08-26 06:12:43.319000000,2.16
0.3260275058238372,0.5310101726889822,2022-08-26 06:12:43.339000000,2.18
0.3208792500257247,0.5085274353039939,2022-08-26 06:12:43.359000000,2.2
0.30858020889358967,0.4783838836528036,2022-08-26 06:12:43.379000000,2.22
0.2942133973307768,0.4492689257827848,2022-08-26 06:12:43.399000000,2.24
0.27771576652843305,0.4371169294860525,2022-08-26 06:12:43.419000000,2.26
0.2625669955904335,0.4467166743301722,2022-08-26 06:12:43.439000000,2.28
0.24667366480553926,0.46394713390632725,2022-08-26 06:12:43.459000000,2.3
0.24112494323296377,0.4692929555933475,2022-08-26 06:12:43.479000000,2.32
0.24914445740415164,0.45768738225445704,2022-08-26 06:12:43.499000000,2.34
0.26330459156178937,0.4400840223560566,2022-08-26 06:12:43.519000000,2.36
0.27848031884806074,0.41936866348944024,2022-08-26 06:12:43.539000000,2.38
0.28808262471836654,0.3883672945026827,2022-08-26 06:12:43.559000000,2.4
0.293942231000781,0.35924522517050766,2022-08-26 06:12:43.579000000,2.42
0.2878178176633065,0.35007355530320955,2022-08-26 06:12:43.599000000,2.44
0.2718811454305226,0.3566048936451809,2022-08-26 06:12:43.619000000,2.46
0.25332835681985927,0.3690505279220243,2022-08-26 06:12:43.639000000,2.48
0.24407165202756104,0.38399425724372377,2022-08-26 06:12:43.659000000,2.5
0.23844120167993574,0.3963340418405938,2022-08-26 06:12:43.679000000,2.52
0.23862275312088171,0.4026634390246369,2022-08-26 06:12:43.699000000,2.54
0.239815899066287,0.4036320136399988,2022-08-26 06:12:43.719000000,2.56
0.24542626727272862,0.39247344412739416,2022-08-26 06:12:43.739000000,2.58
0.24774106072936472,0.36595510910242757,2022-08-26 06:12:43.759000000,2.6
0.24726356992116644,0.3422202759850529,2022-08-26 06:12:43.779000000,2.62
0.24819780380114748,0.3340535091987681,2022-08-26 06:12:43.799000000,2.64
0.24380927125327126,0.3346982640276444,2022-08-26 06:12:43.819000000,2.66
0.2416534240896857,0.3350300445157492,2022-08-26 06:12:43.839000000,2.68
0.2371138665036731,0.3278135627457086,2022-08-26 06:12:43.859000000,2.7
0.23776278379571128,0.31175470613188355,2022-08-26 06:12:43.879000000,2.72
0.23926581009151413,0.2917634796145801,2022-08-26 06:12:43.899000000,2.74
0.23702513959763713,0.271628130095147,2022-08-26 06:12:43.919000000,2.76
0.23449714998052276,0.2503456260006428,2022-08-26 06:12:43.939000000,2.78
0.2304130757806864,0.23233745777474615,2022-08-26 06:12:43.959000000,2.8
0.23749291210928503,0.23151119682957205,2022-08-26 06:12:43.979000000,2.82
0.24216038967864925,0.24896098649272702,2022-08-26 06:12:43.999000000,2.84
0.24181819422454096,0.27336583695339584,2022-08-26 06:12:44.019000000,2.86
0.2331138811038125,0.2955102104733361,2022-08-26 06:12:44.039000000,2.88
0.2264698799165116,0.3109193842583896,2022-08-26 06:12:44.059000000,2.9
0.21962872027123204,0.31728305161914383,2022-08-26 06:12:44.079000000,2.92
0.21590336055590395,0.30625918961717963,2022-08-26 06:12:44.099000000,2.94
0.21109009705636803,0.2809832092465201,2022-08-26 06:12:44.119000000,2.96
0.20961170250596595,0.2588814474143051,2022-08-26 06:12:44.139000000,2.98
0.2160124956244942,0.24746691372991392,2022-08-26 06:12:44.159000000,3.0
0.2302180486545029,0.2439500522513093,2022-08-26 06:12:44.179000000,3.02
0.24406051045505495,0.24442979340490203,2022-08-26 06:12:44.199000000,3.04
0.24754196479232507,0.25038929069845156,2022-08-26 06:12:44.219000000,3.06
0.24650269049289442,0.25845335688513443,2022-08-26 06:12:44.239000000,3.08
0.23905284956512723,0.26150092670188335,2022-08-26 06:12:44.259000000,3.1
0.2287984241158668,0.26274685721679447,2022-08-26 06:12:44.279000000,3.12
0.21662496802369266,0.2622785524538267,2022-08-26 06:12:44.299000000,3.14
0.20898615293003642,0.25841379384515234,2022-08-26 06:12:44.319000000,3.16
0.20665362071619459,0.25356195994222275,2022-08-26 06:12:44.339000000,3.18
0.21561425966625822,0.25037927596505954,2022-08-26 06:12:44.359000000,3.2
0.23355203451914863,0.2522123952478568,2022-08-26 06:12:44.379000000,3.22
0.24940096434134698,0.25424270010025823,2022-08-26 06:12:44.399000000,3.24
0.2547022798608992,0.251542334022298,2022-08-26 06:12:44.419000000,3.26
0.2529735296836367,0.24601378866602502,2022-08-26 06:12:44.439000000,3.28
0.24818002469941053,0.24540443321546682,2022-08-26 06:12:44.459000000,3.3
0.2394080164413793,0.2556378835818502,2022-08-26 06:12:44.479000000,3.32
0.23054135070628332,0.2631684207542643,2022-08-26 06:12:44.499000000,3.34
0.22654501522988874,0.2577237185703719,2022-08-26 06:12:44.519000000,3.36
0.2262612455770386,0.24669474880585157,2022-08-26 06:12:44.539000000,3.38
0.22826597537822796,0.23603770733768326,2022-08-26 06:12:44.559000000,3.4
0.22943315682372226,0.2283592374362511,2022-08-26 06:12:44.579000000,3.42
0.2288857347430934,0.2222639491037837,2022-08-26 06:12:44.599000000,3.44
0.22109731490114048,0.21635915440570302,2022-08-26 06:12:44.619000000,3.46
0.2119374646717621,0.21638270690538988,2022-08-26 06:12:44.639000000,3.48
0.19885443937797184,0.22939183910677094,2022-08-26 06:12:44.659000000,3.5
0.18596011583616837,0.2521645106054806,2022-08-26 06:12:44.679000000,3.52
0.17698179759069865,0.26883392476515255,2022-08-26 06:12:44.699000000,3.54
0.17827179370144305,0.27231715035960985,2022-08-26 06:12:44.719000000,3.56
0.19246255654102937,0.26799865896359437,2022-08-26 06:12:44.739000000,3.58
0.20962485220264612,0.2565743421157617,2022-08-26 06:12:44.759000000,3.6
0.2279052905250636,0.2395411386193334,2022-08-26 06:12:44.779000000,3.62
0.23732625725137252,0.22364385743799597,2022-08-26 06:12:44.799000000,3.64
0.23706158409863004,0.21353232071200778,2022-08-26 06:12:44.819000000,3.66
0.226675729387,0.2142067227423441,2022-08-26 06:12:44.839000000,3.68
0.21537863521635475,0.23151525195681333,2022-08-26 06:12:44.859000000,3.7
0.20661949008957467,0.259417555426225,2022-08-26 06:12:44.879000000,3.72
0.2060036200530144,0.27942099953853194,2022-08-26 06:12:44.899000000,3.74
0.20520388526942854,0.2840329079203211,2022-08-26 06:12:44.919000000,3.76
0.20393128963867022,0.2806419899325687,2022-08-26 06:12:44.939000000,3.78
0.20656317309525957,0.2723607941372428,2022-08-26 06:12:44.959000000,3.8
0.21531054079744094,0.2591043119298912,2022-08-26 06:12:44.979000000,3.82
0.21780996712768408,0.247669364304458,2022-08-26 06:12:44.999000000,3.84
0.21288715445693737,0.24403554208495415,2022-08-26 06:12:45.019000000,3.86
0.2094069299052809,0.24521954876989466,2022-08-26 06:12:45.039000000,3.88
0.21092141272580633,0.248203482940773,2022-08-26 06:12:45.059000000,3.9
0.21184416856996224,0.25089160266258664,2022-08-26 06:12:45.079000000,3.92
0.20510400459535363,0.24710615242023615,2022-08-26 06:12:45.099000000,3.94
0.20042690473555327,0.23604555729190543,2022-08-26 06:12:45.119000000,3.96
0.19997601785747035,0.22079777119530689,2022-08-26 06:12:45.139000000,3.98
0.20537517809561817,0.20222235796837995,2022-08-26 06:12:45.159000000,4.0
0.2062603266641246,0.18388737188257703,2022-08-26 06:12:45.178999999,4.02
0.20778656950547045,0.1740778726623421,2022-08-26 06:12:45.199000000,4.04
0.2135636620988,0.18184659171323667,2022-08-26 06:12:45.218999999,4.06
0.21584683437010177,0.20474290064944606,2022-08-26 06:12:45.239000000,4.08
0.2097475397329362,0.2320355475429455,2022-08-26 06:12:45.258999999,4.1
0.20363333372022838,0.25620644388617553,2022-08-26 06:12:45.279000000,4.12
0.19946721760703523,0.26781211561676305,2022-08-26 06:12:45.298999999,4.14
0.19509561149013196,0.2624452206724968,2022-08-26 06:12:45.319000000,4.16
0.1922068840452632,0.24689370985245832,2022-08-26 06:12:45.338999999,4.18
0.19076913789545555,0.22999295453675034,2022-08-26 06:12:45.359000000,4.2
0.19735234867233095,0.22087148495004147,2022-08-26 06:12:45.378999999,4.22
0.20923339079431072,0.2207393286069693,2022-08-26 06:12:45.399000000,4.24
0.22393301966046814,0.21967439735942135,2022-08-26 06:12:45.419000000,4.26
0.2310379484916682,0.21784584523625292,2022-08-26 06:12:45.439000000,4.28
0.2235380576072332,0.22551273167557773,2022-08-26 06:12:45.459000000,4.3
0.21229618705317202,0.23723374064114214,2022-08-26 06:12:45.479000000,4.32
0.20173085684842834,0.23809540863689455,2022-08-26 06:12:45.499000000,4.34
0.19550360514144505,0.22987387308172488,2022-08-26 06:12:45.519000000,4.36
0.18947566075720995,0.2268891367466434,2022-08-26 06:12:45.539000000,4.38
0.18866661042395924,0.23067226220747808,2022-08-26 06:12:45.559000000,4.4
0.1950784936262445,0.228708213995313,2022-08-26 06:12:45.579000000,4.42
0.21424237989230469,0.21915948446386913,2022-08-26 06:12:45.599000000,4.44
